Gene,log2FoldChange,baseMean,pvalue
ENSG00000176681,0.950753597,61.54586669,3.28E-05
ENSG00000146425,-0.469901699,1079.33334,3.39E-05
ENSG00000170846,-0.509276597,472.2903859,3.37E-05
ENSG00000105202,-0.521356268,6883.095721,3.55E-05
ENSG00000176533,-0.632331432,393.7813268,3.59E-05
ENSG00000007080,-0.518464843,1426.676644,3.75E-05
ENSG00000104833,-0.896346043,286.0308004,4.10E-05
ENSG00000123975,-0.607162001,3363.831298,4.10E-05
ENSG00000157150,0.986292422,75.93640571,4.17E-05
ENSG00000158966,0.543745227,4921.264784,4.17E-05
ENSG00000184752,-0.579270226,734.9446558,4.19E-05
ENSG00000198931,-0.41289448,2686.155065,4.22E-05
ENSG00000148303,-0.575949979,32168.26189,4.31E-05
ENSG00000169714,-0.56682067,9142.023424,4.51E-05
ENSG00000170906,-0.727253867,866.9275421,4.50E-05
ENSG00000186395,-0.598833974,348.8832881,4.47E-05
ENSG00000142676,-0.647899554,18488.63056,4.55E-05
ENSG00000101670,0.86248529,785.8395766,4.68E-05
ENSG00000024862,-0.576544163,218.8729576,4.73E-05
ENSG00000249158,0.85236061,255.3993121,4.84E-05
ENSG00000060718,0.59395656,1432.832506,4.85E-05
ENSG00000137154,-0.552282849,44226.88448,4.79E-05
ENSG00000125144,-1.032964493,1078.116223,4.91E-05
ENSG00000087086,-0.597990512,16192.40434,4.93E-05
ENSG00000185088,-0.69983772,1514.327464,5.02E-05
ENSG00000163728,0.4315844,999.0217478,5.04E-05
ENSG00000162601,0.614413781,2930.970372,5.24E-05
ENSG00000138759,0.642089818,10279.08786,5.29E-05
ENSG00000198498,-0.606579889,1160.185224,5.37E-05
ENSG00000215030,-1.062121144,149.3704466,5.46E-05
ENSG00000142409,-0.522376814,800.3135729,5.69E-05
ENSG00000178209,0.630792001,7611.440168,5.94E-05
ENSG00000181481,-0.577970002,277.235706,6.15E-05
ENSG00000174021,-0.442059719,1535.232365,6.13E-05
ENSG00000184905,-0.702030412,478.6232634,6.14E-05
ENSG00000255666,0.977944548,114.0758515,6.31E-05
ENSG00000164199,0.588854704,3165.336778,6.30E-05
ENSG00000198468,-0.867088573,326.0873715,6.41E-05
ENSG00000084207,-0.600888882,11793.16399,6.50E-05
ENSG00000153048,-0.473219622,2277.62671,6.62E-05
ENSG00000223705,0.569102317,2565.253924,6.69E-05
ENSG00000218336,0.518865407,4811.653476,6.75E-05
ENSG00000115268,-0.714398906,7657.11452,6.77E-05
ENSG00000077348,-0.444491907,717.7731466,6.90E-05
ENSG00000221983,-0.555711869,7943.768489,6.93E-05
ENSG00000029534,-0.83631906,285.670921,7.06E-05
ENSG00000197321,0.547947306,1419.352377,7.18E-05
ENSG00000174227,0.447668043,1413.835997,7.21E-05
ENSG00000197958,-0.63273829,21262.87526,7.21E-05
ENSG00000261324,0.874040147,96.60178605,7.37E-05
ENSG00000079215,0.672547125,1733.944915,7.29E-05
ENSG00000075914,-0.431370705,1267.640926,7.32E-05
ENSG00000107537,-0.700210407,641.1275756,7.36E-05
ENSG00000144354,0.39199291,3749.460061,7.47E-05
ENSG00000146701,-0.346196811,4940.65401,7.60E-05
ENSG00000226958,-0.737893476,26005.08752,7.71E-05
ENSG00000167994,-0.640276577,155.3646199,7.64E-05
ENSG00000125970,-0.425733939,3725.236329,7.58E-05
ENSG00000241781,-0.902374222,520.0509854,7.75E-05
ENSG00000124243,-0.643787856,398.8607679,7.63E-05
ENSG00000182165,-0.734075409,188.3901639,7.68E-05
ENSG00000198417,-0.987798273,223.7651449,7.80E-05
ENSG00000116251,-0.487211429,16351.28769,7.98E-05
ENSG00000091136,0.682981134,6175.980707,8.03E-05
ENSG00000164967,-0.563585083,366.6023622,8.10E-05
ENSG00000231789,-0.84709942,108.8956114,8.21E-05
ENSG00000119711,-0.496356283,832.6635376,8.25E-05
ENSG00000176393,-0.398605956,1210.182881,8.29E-05
ENSG00000131876,-0.476942028,2410.207364,8.36E-05
ENSG00000127481,0.511767711,9367.675019,8.56E-05
ENSG00000177239,0.429792149,1835.840873,8.55E-05
ENSG00000130827,0.550731034,996.7989168,8.66E-05
ENSG00000090013,-0.753277073,428.6888144,8.80E-05
ENSG00000134779,-0.440974571,2517.735118,8.86E-05
ENSG00000238083,0.69105811,567.6743224,8.96E-05
ENSG00000169231,0.575130371,290.987205,9.23E-05
ENSG00000167526,-0.60936651,22026.71446,9.32E-05
ENSG00000170889,-0.499698228,20966.53089,9.47E-05
ENSG00000109475,-0.649789086,10352.38485,9.85E-05
ENSG00000084674,1.02429726,124.72499,9.90E-05
ENSG00000266918,1.002112486,55.22405895,0.000101889
ENSG00000148288,0.71429267,154.7120237,0.00010255
ENSG00000126777,0.579420024,9597.814388,0.000104394
ENSG00000141424,0.57044644,3656.786581,0.000105281
ENSG00000092199,-0.448756696,29464.66627,0.000107712
ENSG00000233927,-0.794244704,5018.0103,0.000108897
ENSG00000141971,-0.472068857,573.8441368,0.000109784
ENSG00000205047,0.698388709,124.9422824,0.000109831
ENSG00000260853,0.674851671,117.5788175,0.000111381
ENSG00000101400,-0.642451827,203.0414579,0.000111054
ENSG00000139190,0.576333342,440.1642349,0.000110568
ENSG00000184076,-0.598962542,1091.886649,0.000112627
ENSG00000169564,-0.503187194,3563.337122,0.000115388
ENSG00000163406,0.747804668,176.6759953,0.000114971
ENSG00000099194,0.611610275,30520.00518,0.000115282
ENSG00000163344,-0.478649124,667.2698727,0.000114833
ENSG00000103202,-0.514688094,5188.24893,0.000114938
ENSG00000077312,-0.525358859,3403.908815,0.000112737
ENSG00000145626,-0.593018933,197.2074058,0.000113652
ENSG00000170043,-0.648289933,763.1717786,0.000115948
ENSG00000058453,0.509676033,3187.479476,0.000117858
ENSG00000167996,-0.496782514,2178.305857,0.000121481
ENSG00000228696,0.898678759,109.1965637,0.000123721
ENSG00000112306,-0.46032431,20000.65544,0.000125428
ENSG00000144713,-0.598341007,16182.1703,0.000125322
ENSG00000123415,-0.456167838,366.1149099,0.000125739
ENSG00000242086,0.615674402,640.393554,0.000127034
ENSG00000100592,0.540316562,1307.551603,0.000127732
ENSG00000167088,-0.406631552,2869.782346,0.000131083
ENSG00000008300,0.426305381,2826.455739,0.000130751
ENSG00000228474,-0.545628364,993.8721428,0.00013235
ENSG00000198034,-0.669180832,23742.74816,0.000130804
ENSG00000126432,-0.528749801,3500.762574,0.000131378
ENSG00000205309,-0.751915289,212.1821536,0.000132145
ENSG00000110148,0.843062959,551.566745,0.000135105
ENSG00000120149,1.001391803,67.72421189,0.000136427
ENSG00000126934,-0.43596772,2657.760394,0.000137009
ENSG00000188186,-0.448020129,1478.112142,0.000139323
ENSG00000160799,-0.541335137,826.596069,0.000140187
ENSG00000178568,1.001413969,145.5688568,0.000141308
ENSG00000102924,0.817340628,151.5073687,0.00014096
ENSG00000164104,-0.627273804,8082.589665,0.000142063
ENSG00000130005,-0.664613409,292.8402594,0.000145134
ENSG00000137710,0.483584532,6235.44416,0.000146153
ENSG00000145431,0.689399726,116.9642685,0.000150558
ENSG00000173113,-0.516034035,2919.816499,0.000153457
ENSG00000139645,0.380733315,1952.720952,0.000156184
ENSG00000229544,0.779423708,120.1073755,0.000156339
ENSG00000145494,-0.511442651,1637.911075,0.000156726
ENSG00000107874,-0.554359877,1108.403213,0.000158874
ENSG00000038427,0.72307393,22032.00768,0.000159206
ENSG00000023697,-0.461583298,750.1852915,0.000160752
ENSG00000160460,-0.736546527,109.8631485,0.000160428
ENSG00000115266,0.761630786,288.1953506,0.000164911
ENSG00000004059,-0.567061958,1993.131165,0.00016462
ENSG00000071082,-0.547682656,17793.69303,0.000170007
ENSG00000135847,-0.408619306,1169.899416,0.000171814
ENSG00000177791,-0.746487046,87.24126704,0.000172559
ENSG00000106615,-0.462285096,2717.196014,0.000174153
ENSG00000125457,-0.591042733,338.8341277,0.000181045
ENSG00000139908,0.80698381,75.1593192,0.000185065
ENSG00000170775,0.705042059,314.6025395,0.0001868
ENSG00000188243,-0.478193538,1076.097717,0.000189041
ENSG00000166501,-0.576826759,610.7804453,0.000192077
ENSG00000101843,-0.826782292,1469.744116,0.000192524
ENSG00000172037,0.573773933,4358.450946,0.000193568
ENSG00000183386,-0.536055333,446.9871691,0.000199692
ENSG00000121851,-0.75434945,217.558621,0.000199074
ENSG00000100078,0.722528916,1438.423814,0.000197933
ENSG00000082781,0.634360676,5580.169399,0.000199677
ENSG00000139182,0.516869621,1749.532228,0.000204586
ENSG00000124562,-0.393543299,2474.852322,0.00020582
ENSG00000100865,-0.557969584,491.4989673,0.000210186
ENSG00000107831,0.970002112,62.3595807,0.000211607
ENSG00000088826,-0.511645504,262.2821415,0.00021206
ENSG00000005108,0.777917118,195.072582,0.000213705
ENSG00000112769,0.780172743,69.11357397,0.000213762
ENSG00000124549,0.620815467,123.3683386,0.000213339
ENSG00000196531,-0.51549609,18445.03685,0.000216063
ENSG00000092010,-0.587812752,1572.527864,0.000215415
ENSG00000057252,0.643520667,505.7846875,0.000218399
ENSG00000142541,-0.486471233,38461.01895,0.000220138
ENSG00000176396,-0.520650476,589.9859681,0.000221313
ENSG00000214194,-0.483940061,1021.085065,0.000222477
ENSG00000115641,-0.642847892,552.9215901,0.000225196
ENSG00000168303,-0.464691918,755.1988235,0.000228626
ENSG00000104899,0.961373772,119.912775,0.000230817
ENSG00000110700,-0.483059095,10793.64515,0.000232434
ENSG00000138316,0.649867777,114.2433514,0.000234595
ENSG00000148204,0.767909557,852.5663087,0.000237546
ENSG00000112667,-0.695736356,485.0398917,0.000238381
ENSG00000185917,0.558887449,836.5640024,0.000240606
ENSG00000237190,-0.500655977,964.2882377,0.000240045
ENSG00000129518,-0.430560317,587.5093437,0.000244675
ENSG00000074317,-0.6785144,148.1163995,0.000249275
